1,"Participant 20TF","Consistant","Target 1 Raw Latency",1141,1219,1094,1360,1312,1406,3000,2296,1187,3031,1219,2219,1828,2469,1266,2125,1093,1297,1656,1782,1672,2218,2422,1922,953,1219,1297,1407,1422,1610,1453,1454
1,"Participant 20TF","Consistant","Target 2 Raw Latency",1328,2484,1610,1484,1454,2875,2015,2719,1609,1297,1313,1688,1781,1766,2000,1672,1157,1984,1359,1312,1375,1406,1484,1234,1031,1265,1203,1484,1281,2047,1859,1453
1,"Participant 20TF","Consistant","Target 3 Raw Latency",1297,1625,1359,1469,1562,2218,2000,1891,1297,2125,1343,1531,1312,3359,2750,1438,2469,1422,1797,1375,1688,1719,1297,1328,1265,1891,1359,1250,1516,1407,2984,1828
1,"Participant 20TF","Consistant","Target 4 Raw Latency",1078,1219,1328,1828,1656,1609,1578,2250,1078,1469,2515,1156,2266,1735,1313,3907,1094,1656,2406,2218,1188,1422,1703,1234,1156,1937,1328,1250,1266,1406,1219,1812
1,"Participant 20TF","Consistant","Target 5 Raw Latency",1406,2312,1516,1313,1766,1859,1515,1828,1125,1235,1329,1312,1079,1703,1547,2594,1093,2485,1281,1359,1110,1969,1203,1719,1265,1734,1140,1375,1578,2015,2406,2500
1,"Participant 20TF","Consistant","Target 6 Raw Latency",1125,1828,1188,1390,1750,2578,1375,1625,1578,1844,1078,1343,1125,1484,2344,797,1047,1297,3375,1218,1312,1656,1703,2250,1171,2750,1375,1532,1359,1579,1266,1375
1,"Participant 20TF","Consistant","Target 7 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 20TF","Consistant","Target 8 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 20TF","Consistant","Target 9 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 20TF","Consistant","Target 10 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 20TF","Consistant","Target 11 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 20TF","Consistant","Target 12 Raw Latency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Participant 20TF","Consistant","Target 1 Accuracy","Correct","Correct","Correct",,,"Wrong","Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct",,,"Correct","Correct","Correct"
1,"Participant 20TF","Consistant","Target 2 Accuracy",,"Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Wrong","Correct","Correct",,,"Correct",,"Correct","Correct",,,"Correct","Correct",,"Correct","Correct",,"Correct"
1,"Participant 20TF","Consistant","Target 3 Accuracy","Correct",,"Correct","Correct","Wrong",,"Correct",,"Wrong","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct","Correct",,"Correct","Correct","Correct",,"Correct",
1,"Participant 20TF","Consistant","Target 4 Accuracy","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct","Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct","Wrong",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct","Correct","Correct","Correct"
1,"Participant 20TF","Consistant","Target 5 Accuracy",,"Correct",,"Correct","Correct",,"Correct","Wrong","Correct","Correct",,"Correct","Correct","Wrong",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct",,"Correct","Correct",,"Correct","Correct"
1,"Participant 20TF","Consistant","Target 6 Accuracy","Correct","Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct",,"Correct","Correct","Correct",,"Correct","Correct",,"Correct",,"Correct","Correct","Correct","Correct","Correct",,"Correct","Correct",,"Correct"
1,"Participant 20TF","Consistant","Target 7 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 20TF","Consistant","Target 8 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 20TF","Consistant","Target 9 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 20TF","Consistant","Target 10 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 20TF","Consistant","Target 11 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Participant 20TF","Consistant","Target 12 Accuracy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
